2026-01-09 00:53:54.880453 | Samples: 40 | Loss: 0.1278 | LR: 4.22e-05
2026-01-09 00:54:49.179593 | Samples: 40 | Loss: 0.1372 | LR: 4.21e-05
2026-01-09 00:55:40.888261 | Samples: 40 | Loss: 0.1482 | LR: 4.20e-05
2026-01-09 00:56:29.981043 | Samples: 40 | Loss: 0.1503 | LR: 4.20e-05
2026-01-09 00:57:20.328847 | Samples: 40 | Loss: 0.1080 | LR: 4.19e-05
2026-01-09 00:58:14.947924 | Samples: 40 | Loss: 0.1110 | LR: 4.19e-05
2026-01-09 00:59:26.872136 | Samples: 40 | Loss: 0.1440 | LR: 4.18e-05
2026-01-09 01:00:21.633652 | Samples: 40 | Loss: 0.1617 | LR: 4.18e-05
2026-01-09 01:01:15.455787 | Samples: 40 | Loss: 0.1168 | LR: 4.17e-05
2026-01-09 01:02:09.348946 | Samples: 40 | Loss: 0.1145 | LR: 4.16e-05
2026-01-09 01:03:05.631069 | Samples: 40 | Loss: 0.1869 | LR: 4.16e-05
2026-01-09 01:04:01.958849 | Samples: 40 | Loss: 0.1377 | LR: 4.15e-05
2026-01-09 01:04:53.628495 | Samples: 40 | Loss: 0.1331 | LR: 4.15e-05
2026-01-09 01:05:48.693177 | Samples: 40 | Loss: 0.1659 | LR: 4.14e-05
2026-01-09 01:06:38.097589 | Samples: 40 | Loss: 0.1540 | LR: 4.14e-05
2026-01-09 01:07:30.750551 | Samples: 40 | Loss: 0.1074 | LR: 4.13e-05
2026-01-09 01:08:27.253419 | Samples: 40 | Loss: 0.1044 | LR: 4.12e-05
2026-01-09 01:09:17.704951 | Samples: 40 | Loss: 0.1319 | LR: 4.12e-05
2026-01-09 01:10:10.633683 | Samples: 40 | Loss: 0.1421 | LR: 4.11e-05
2026-01-09 01:11:02.517302 | Samples: 40 | Loss: 0.0871 | LR: 4.11e-05
2026-01-09 01:11:57.353283 | Samples: 40 | Loss: 0.1232 | LR: 4.10e-05
2026-01-09 01:12:53.785227 | Samples: 40 | Loss: 0.1361 | LR: 4.09e-05
2026-01-09 01:13:55.145103 | Samples: 40 | Loss: 0.1355 | LR: 4.09e-05
